time;cwnd1;cwnd2;cwnd3;rtt1;rtt2;rtt3;bytes1;bytes2;bytes3
41;158554.54000000001;1460;1460;0.19;0.0;0.0;17877040;0;0
42;162589.98000000001;1460;1460;0.17999999999999999;0.0;0.0;18759040;0;0
43;166489.64000000001;1460;1460;0.17999999999999999;0.0;0.0;19689040;0;0
44;170500.26000000001;1460;1460;0.17999999999999999;0.0;0.0;20625040;0;0
45;174430.57999999999;1460;1460;0.17999999999999999;0.0;0.0;21597040;0;0
46;178429.52000000002;1460;1460;0.17999999999999999;0.0;0.0;22572040;0;0
47;182340.86000000002;1460;1460;0.17999999999999999;0.0;0.0;23595040;0;0
48;186366.07999999999;1460;1460;0.17999999999999999;0.0;0.0;24612040;0;0
49;190281.80000000002;1460;1460;0.19;0.0;0.0;25672540;0;0
50;96889.25;1460;1460;0.17999999999999999;0.0;0.0;26712040;0;0
51;100517.78800000002;1460;1460;0.17999999999999999;0.0;0.0;27238540;0;0
52;104265.462;1460;1460;0.17999999999999999;0.0;0.0;27834040;0;0
53;108395.50999999999;1460;1460;0.17999999999999999;0.0;0.0;28393540;0;0
54;112126.978;1460;1460;0.17999999999999999;0.0;0.0;29041540;0;0
55;116307.68800000001;1460;1460;0.19;0.0;0.0;29640040;0;0
56;120006.306;1460;1460;0.19;0.0;0.0;30340540;0;0
57;124213.58799999999;1460;1460;0.19;0.0;0.0;30975040;0;0
58;127900.23400000001;1460;1460;0.17999999999999999;0.0;0.0;31719040;0;0
59;132049.69999999998;1460;1460;0.17999999999999999;0.0;0.0;32403040;0;0
60;135821.75599999999;1460;1460;0.17999999999999999;0.0;0.0;33183040;0;0
61;139934.42999999999;1460;1460;0.17999999999999999;0.0;0.0;33918040;0;0
62;143707.21599999999;1460;1460;0.19;0.0;0.0;34743040;0;0
63;147830.84;1460;1460;0.19;0.0;0.0;35518540;0;0
64;151618.07999999999;1460;1460;0.17999999999999999;0.0;0.0;36384040;0;0
65;155697.32000000001;1460;1460;0.17999999999999999;0.0;0.0;37210540;0;0
66;159538.57999999999;1460;1460;0.17999999999999999;0.0;0.0;38112040;0;0
67;163588.62;1460;1460;0.17999999999999999;0.0;0.0;38997040;0;0
68;167478.06;1460;1460;0.17999999999999999;0.0;0.0;39936040;0;0
69;171477.0;1460;1460;0.19;0.0;0.0;40875040;0;0
70;175421.92000000001;1460;1460;0.17999999999999999;0.0;0.0;41845540;0;0
71;179387.28;1460;1460;0.17999999999999999;0.0;0.0;42841540;0;0
72;183383.30000000002;1460;1460;0.17999999999999999;0.0;0.0;43851040;0;0
73;187316.54000000001;1460;1460;0.17999999999999999;0.0;0.0;44899540;0;0
74;191335.91999999998;1460;1460;0.17999999999999999;0.0;0.0;45946540;0;0
75;195261.86000000002;1460;1460;0.17999999999999999;0.0;0.0;47037040;0;0
76;199238.89999999999;1460;1460;0.17999999999999999;0.0;0.0;48132040;0;0
77;203201.34;1460;1460;0.17999999999999999;0.0;0.0;49261540;0;0
78;207179.84;1460;1460;0.19;0.0;0.0;50409040;0;0
79;211133.51999999999;1460;1460;0.17999999999999999;0.0;0.0;51580540;0;0
80;215104.72;1460;1460;0.17999999999999999;0.0;0.0;52767040;0;0
81;219062.78;1460;1460;0.19;0.0;0.0;53979040;0;0
82;223016.46000000002;1460;1460;0.17999999999999999;0.0;0.0;55212040;0;0
83;113399.07599999999;1460;1460;0.17999999999999999;0.0;0.0;55999540;0;0
84;117334.944;1460;1460;0.17999999999999999;0.0;0.0;56643040;0;0
85;121318.7;1460;1460;0.19;0.0;0.0;57300040;0;0
86;125192.95599999999;1460;1460;0.17999999999999999;0.0;0.0;58000540;0;0
87;129247.95999999999;1460;1460;0.17999999999999999;0.0;0.0;58693540;0;0
88;133099.44;1460;1460;0.17999999999999999;0.0;0.0;59448040;0;0
89;137169.33600000001;1460;1460;0.19;0.0;0.0;60175540;0;0
90;140985.92200000002;1460;1460;0.19;0.0;0.0;60978040;0;0
91;145084.43400000001;1460;1460;0.17999999999999999;0.0;0.0;61746040;0;0
92;148870.35999999999;1460;1460;0.17999999999999999;0.0;0.0;62599540;0;0
93;152993.40000000002;1460;1460;0.17999999999999999;0.0;0.0;63403540;0;0
94;156779.17999999999;1460;1460;0.17999999999999999;0.0;0.0;64299040;0;0
95;160858.42000000001;1460;1460;0.17999999999999999;0.0;0.0;65151040;0;0
96;164683.62;1460;1460;0.19;0.0;0.0;66087040;0;0
97;168749.72;1460;1460;0.17999999999999999;0.0;0.0;66991540;0;0
98;172608.5;1460;1460;0.17999999999999999;0.0;0.0;67965040;0;0
99;176648.32000000001;1460;1460;0.17999999999999999;0.0;0.0;68922040;0;0
